month,total,timeRange.start,timeRange.end,,countryCode,country_Name,Two_Letter_Country_Code
2009-03-01T00:00:00.000Z,6347346,2009-03-01T00:00:00.000Z,2009-04-01T00:00:00.000Z,,MV,"Guernsey, Bailiwick of",GY
2009-04-01T00:00:00.000Z,5683687,2009-04-01T00:00:00.000Z,2009-05-01T00:00:00.000Z,,NI,"Guinea-Bissau, Republic of",HT
2009-05-01T00:00:00.000Z,5965302,2009-05-01T00:00:00.000Z,2009-06-01T00:00:00.000Z,,OM,"Guinea, Republic of",HM
2009-06-01T00:00:00.000Z,5504033,2009-06-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,,RW,"Guyana, Co-operative Republic of",VA
2009-07-01T00:00:00.000Z,5286495,2009-07-01T00:00:00.000Z,2009-08-01T00:00:00.000Z,,TT,"Haiti, Republic of",HN
2009-08-01T00:00:00.000Z,5360617,2009-08-01T00:00:00.000Z,2009-09-01T00:00:00.000Z,,AG,Heard Island and McDonald Islands,HK
2009-09-01T00:00:00.000Z,5441490,2009-09-01T00:00:00.000Z,2009-10-01T00:00:00.000Z,,AO,Holy See (Vatican City State),HU
2009-10-01T00:00:00.000Z,5534271,2009-10-01T00:00:00.000Z,2009-11-01T00:00:00.000Z,,AW,"Honduras, Republic of",IS
2009-11-01T00:00:00.000Z,5300601,2009-11-01T00:00:00.000Z,2009-12-01T00:00:00.000Z,,AX,"Hong Kong, Special Administrative Region of China",IN
2009-12-01T00:00:00.000Z,5837360,2009-12-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,,BB,"Hungary, Republic of",ID
2010-01-01T00:00:00.000Z,5519153,2010-01-01T00:00:00.000Z,2010-02-01T00:00:00.000Z,,BJ,"Iceland, Republic of",IR
2010-02-01T00:00:00.000Z,5241364,2010-02-01T00:00:00.000Z,2010-03-01T00:00:00.000Z,,BM,"India, Republic of",IQ
2010-03-01T00:00:00.000Z,5704454,2010-03-01T00:00:00.000Z,2010-04-01T00:00:00.000Z,,BO,"Indonesia, Republic of",IE
2010-04-01T00:00:00.000Z,5649365,2010-04-01T00:00:00.000Z,2010-05-01T00:00:00.000Z,,BQ,"Iran, Islamic Republic of",IL
2010-05-01T00:00:00.000Z,5545587,2010-05-01T00:00:00.000Z,2010-06-01T00:00:00.000Z,,BT,Iraq-Saudi Arabia Neutral Zone,IT
2010-06-01T00:00:00.000Z,5344666,2010-06-01T00:00:00.000Z,2010-07-01T00:00:00.000Z,,BW,"Iraq, Republic of",CI
2010-07-01T00:00:00.000Z,5003308,2010-07-01T00:00:00.000Z,2010-08-01T00:00:00.000Z,,BZ,Ireland,JM
2010-08-01T00:00:00.000Z,5260560,2010-08-01T00:00:00.000Z,2010-09-01T00:00:00.000Z,,CD,Isle of Man,JP
2010-09-01T00:00:00.000Z,5439614,2010-09-01T00:00:00.000Z,2010-10-01T00:00:00.000Z,,CI,"Israel, State of",KZ
2010-10-01T00:00:00.000Z,5659639,2010-10-01T00:00:00.000Z,2010-11-01T00:00:00.000Z,,CK,"Italy, Italian Republic",KZ
2010-11-01T00:00:00.000Z,5355527,2010-11-01T00:00:00.000Z,2010-12-01T00:00:00.000Z,,CM,Jamaica,JO
2010-12-01T00:00:00.000Z,5027489,2010-12-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,CV,Japan,KE
2011-01-01T00:00:00.000Z,5586785,2011-01-01T00:00:00.000Z,2011-02-01T00:00:00.000Z,,FJ,"Jersey, Bailiwick of",KP
2011-02-01T00:00:00.000Z,4819867,2011-02-01T00:00:00.000Z,2011-03-01T00:00:00.000Z,,FO,"Jordan, Hashemite Kingdom of",KR
2011-03-01T00:00:00.000Z,4872474,2011-03-01T00:00:00.000Z,2011-04-01T00:00:00.000Z,,GD,"Kazakhstan, Republic of",KW
2011-04-01T00:00:00.000Z,4695531,2011-04-01T00:00:00.000Z,2011-05-01T00:00:00.000Z,,GI,"Kazakhstan, Republic of",KG
2011-05-01T00:00:00.000Z,4713406,2011-05-01T00:00:00.000Z,2011-06-01T00:00:00.000Z,,GL,"Kenya, Republic of",LA
2011-06-01T00:00:00.000Z,4835048,2011-06-01T00:00:00.000Z,2011-07-01T00:00:00.000Z,,GN,"Kiribati, Republic of",LB
2011-07-01T00:00:00.000Z,4883024,2011-07-01T00:00:00.000Z,2011-08-01T00:00:00.000Z,,GP,"Korea, Democratic People's Republic of",LS
2011-08-01T00:00:00.000Z,4868793,2011-08-01T00:00:00.000Z,2011-09-01T00:00:00.000Z,,GU,"Korea, Republic of",LV
2011-09-01T00:00:00.000Z,4870285,2011-09-01T00:00:00.000Z,2011-10-01T00:00:00.000Z,,GY,"Kuwait, State of",LR
2011-10-01T00:00:00.000Z,4680821,2011-10-01T00:00:00.000Z,2011-11-01T00:00:00.000Z,,KG,Kyrgyz Republic,LY
2011-11-01T00:00:00.000Z,4608502,2011-11-01T00:00:00.000Z,2011-12-01T00:00:00.000Z,,KN,Lao People's Democratic Republic,LI
2011-12-01T00:00:00.000Z,4875796,2011-12-01T00:00:00.000Z,2012-01-01T00:00:00.000Z,,KY,"Latvia, Republic of",LT
2012-01-01T00:00:00.000Z,5042732,2012-01-01T00:00:00.000Z,2012-02-01T00:00:00.000Z,,LC,"Lebanon, Lebanese Republic",LU
2012-02-01T00:00:00.000Z,4798850,2012-02-01T00:00:00.000Z,2012-03-01T00:00:00.000Z,,LI,"Lesotho, Kingdom of",MO
2012-03-01T00:00:00.000Z,4924750,2012-03-01T00:00:00.000Z,2012-04-01T00:00:00.000Z,,LR,"Liberia, Republic of",MG
2012-04-01T00:00:00.000Z,4755787,2012-04-01T00:00:00.000Z,2012-05-01T00:00:00.000Z,,LS,Libyan Arab Jamahiriya,MW
2012-05-01T00:00:00.000Z,4983972,2012-05-01T00:00:00.000Z,2012-06-01T00:00:00.000Z,,MC,"Liechtenstein, Principality of",MY
2012-06-01T00:00:00.000Z,4418400,2012-06-01T00:00:00.000Z,2012-07-01T00:00:00.000Z,,MG,"Lithuania, Republic of",MV
2012-07-01T00:00:00.000Z,4677766,2012-07-01T00:00:00.000Z,2012-08-01T00:00:00.000Z,,MO,"Luxembourg, Grand Duchy of",ML
2012-08-01T00:00:00.000Z,4672246,2012-08-01T00:00:00.000Z,2012-09-01T00:00:00.000Z,,MP,"Macao, Special Administrative Region of China",MT
2012-09-01T00:00:00.000Z,4866265,2012-09-01T00:00:00.000Z,2012-10-01T00:00:00.000Z,,MQ,"Macedonia, The Former Yugoslav Republic of",MQ
2012-10-01T00:00:00.000Z,5012191,2012-10-01T00:00:00.000Z,2012-11-01T00:00:00.000Z,,MW,"Madagascar, Republic of",MR
2012-11-01T00:00:00.000Z,4623032,2012-11-01T00:00:00.000Z,2012-12-01T00:00:00.000Z,,MZ,"Malawi, Republic of",MU
2012-12-01T00:00:00.000Z,4559940,2012-12-01T00:00:00.000Z,2013-01-01T00:00:00.000Z,,NA,Malaysia,MX
2013-01-01T00:00:00.000Z,4899442,2013-01-01T00:00:00.000Z,2013-02-01T00:00:00.000Z,,NF,"Maldives, Republic of",MC
2013-02-01T00:00:00.000Z,5082040,2013-02-01T00:00:00.000Z,2013-03-01T00:00:00.000Z,,PG,"Mali, Republic of",MN
2013-03-01T00:00:00.000Z,6288207,2013-03-01T00:00:00.000Z,2013-04-01T00:00:00.000Z,,PS,"Malta, Republic of",MD
2013-04-01T00:00:00.000Z,4564287,2013-04-01T00:00:00.000Z,2013-05-01T00:00:00.000Z,,PY,"Marshall Islands, Republic of the",ME
2013-05-01T00:00:00.000Z,4413155,2013-05-01T00:00:00.000Z,2013-06-01T00:00:00.000Z,,RE,Martinique,MS
2013-06-01T00:00:00.000Z,4224773,2013-06-01T00:00:00.000Z,2013-07-01T00:00:00.000Z,,SC,"Mauritania, Islamic Republic of",MA
2013-07-01T00:00:00.000Z,4012182,2013-07-01T00:00:00.000Z,2013-08-01T00:00:00.000Z,,SL,"Mauritius, Republic of",MZ
2013-08-01T00:00:00.000Z,4053522,2013-08-01T00:00:00.000Z,2013-09-01T00:00:00.000Z,,SM,Mayotte,OM
2013-09-01T00:00:00.000Z,3898091,2013-09-01T00:00:00.000Z,2013-10-01T00:00:00.000Z,,SN,"Mexico, United Mexican States",NA
2013-10-01T00:00:00.000Z,4129935,2013-10-01T00:00:00.000Z,2013-11-01T00:00:00.000Z,,SR,"Micronesia, Federated States of",NR
2013-11-01T00:00:00.000Z,3977703,2013-11-01T00:00:00.000Z,2013-12-01T00:00:00.000Z,,SS,"Moldova, Republic of",NP
2013-12-01T00:00:00.000Z,4297892,2013-12-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,,SX,"Monaco, Principality of",NL
2014-01-01T00:00:00.000Z,4441220,2014-01-01T00:00:00.000Z,2014-02-01T00:00:00.000Z,,TC,Mongolia,AN
2014-02-01T00:00:00.000Z,3935182,2014-02-01T00:00:00.000Z,2014-03-01T00:00:00.000Z,,TD,"Montenegro, Republic of",CW
2014-03-01T00:00:00.000Z,4265497,2014-03-01T00:00:00.000Z,2014-04-01T00:00:00.000Z,,TG,Montserrat,AW
2014-04-01T00:00:00.000Z,4068971,2014-04-01T00:00:00.000Z,2014-05-01T00:00:00.000Z,,TJ,"Morocco, Kingdom of",SX
2014-05-01T00:00:00.000Z,4128397,2014-05-01T00:00:00.000Z,2014-06-01T00:00:00.000Z,,TL,"Mozambique, Republic of",BQ
2014-06-01T00:00:00.000Z,3803793,2014-06-01T00:00:00.000Z,2014-07-01T00:00:00.000Z,,VA,"Myanmar, Union of",NC
2014-07-01T00:00:00.000Z,3988544,2014-07-01T00:00:00.000Z,2014-08-01T00:00:00.000Z,,VG,"Namibia, Republic of",VU
2014-08-01T00:00:00.000Z,3994185,2014-08-01T00:00:00.000Z,2014-09-01T00:00:00.000Z,,VI,"Nauru, Republic of",NZ
2014-09-01T00:00:00.000Z,3836208,2014-09-01T00:00:00.000Z,2014-10-01T00:00:00.000Z,,VU,"Nepal, State of",NI
2014-10-01T00:00:00.000Z,3918032,2014-10-01T00:00:00.000Z,2014-11-01T00:00:00.000Z,,XK,Netherlands Antilles,NE
2014-11-01T00:00:00.000Z,3858005,2014-11-01T00:00:00.000Z,2014-12-01T00:00:00.000Z,,YT,"Netherlands, Kingdom of the",NG
2014-12-01T00:00:00.000Z,4072660,2014-12-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,,ZM,New Caledonia,NU
